city,km5,km10,km15,km20,hm,km25,km30,km35,km40,time,cat,place,cat_place
Kenia,875,1748,2621,3498,3699,4386,5279,6177,7098,7501,MSR,3,3
Ethiopie,874,1747,2621,3498,3697,4380,5260,6152,7075,7488,MSR,2,2
Ethiopie,874,1748,2622,3498,3697,4380,5260,6153,7075,7487,MSR,1,1
Marokko,874,1747,2621,3527,3741,4490,5465,6452,7483,7935,MSR,10,10
Kenia,874,1747,2620,3497,3698,4405,5362,6336,7348,7805,MSR,5,5
Kenia,873,1747,2621,3498,3698,4386,5302,6242,7233,7684,MSR,4,4
Nederland,920,1834,2748,3669,3879,4615,5554,6471,7413,7834,MSR,6,6
Columbia,951,1910,2869,3831,4051,4810,5792,6771,7778,8214,MSR,24,22
Columbia,921,1856,2791,3749,3969,4737,5734,6716,7699,8117,M35,12,1
Polen,920,1833,2747,3669,3879,4615,5554,6486,7463,7879,MSR,8,8
Canada,919,1833,2747,3669,3879,4615,5554,6484,7435,7846,MSR,7,7
Spanje,921,1834,2748,3669,3880,4615,5555,6513,7494,7918,MSR,9,9
Finland,951,1911,2872,3830,4050,4809,5790,6768,7758,8194,MSR,19,17
Columbia,920,1834,2748,3669,3879,4618,5608,6618,7685,8144,MSR,14,13
Duitsland,950,1910,2871,3830,4050,4808,5790,6768,7768,8198,MSR,20,18
Columbia,923,1857,2792,3750,3969,4737,5734,6716,7729,8186,MSR,18,16
Noorwegen,950,1910,2871,3830,4049,4808,5790,6769,7773,8205,MSR,23,21
Canada,920,1834,2748,3669,3880,4615,5555,6514,7537,8016,MSR,11,11
Columbia,920,1834,2749,3714,3944,4740,5771,6830,7948,8470,M35,39,5
Spanje,920,1834,2748,3686,3907,4671,5689,6689,7714,8151,MSR,16,14
Nederland,951,1911,2872,3831,4050,4810,5836,6888,7935,8372,MSR,32,28
Belgie,920,1855,2790,3749,3976,4764,5783,6769,7771,8224,M35,25,3
Ierland,951,1911,2872,3829,4049,4808,5791,6769,7765,8201,MSR,22,20
Puerto Rico,963,1927,2892,3883,4101,4869,5848,6835,7916,8459,M35,37,4
Finland,963,1927,2891,3883,4110,4905,5932,6967,8013,8463,MSR,38,33
Moldavie,928,1881,2834,3793,4009,4770,5754,6728,7702,8126,MSR,13,12
Ierland,992,1966,2941,3916,4137,4907,5905,6908,7943,8398,MSR,35,31
Australie,983,1975,2968,3977,4206,5007,6050,7139,8486,9085,MSR,87,63
Kaapverdie,951,1917,2884,3883,4110,4877,5863,6871,7910,8386,MSR,34,30
Nederland,1007,2025,3044,4069,4303,5111,6148,7197,8294,8758,MSR,60,49
Nederland,1006,2025,3044,4068,4303,5110,6147,7193,8274,8745,MSR,57,47
Nederland,1008,2027,3046,4070,4305,5112,6149,7162,8316,8790,MSR,61,50
Belgie,973,1965,2958,3949,4170,4952,5946,7160,8390,8851,MSR,69,54
Spanje,1067,2143,3220,4331,4582,5450,6563,8604,10646,11188,MSR,640,200
Nederland,1043,2085,3128,4177,4416,5235,6286,7333,8968,9636,MSR,148,80
Nederland,1075,2171,3267,4348,4595,5449,6540,7604,8661,9110,MSR,91,64
Frankrijk,1043,2086,3130,4206,4458,5336,6489,7660,8854,9346,MSR,112,72
Caracas,947,1906,2866,3859,4086,4872,5928,7019,8137,8634,MSR,51,42
Prins Hendrik,1101,2200,3300,4397,4646,5507,6614,7730,8869,9370,MSR,117,74
Oudenburg,1060,2139,3219,4329,4581,5445,6552,7639,8739,9218,M45,100,3
Alvito,951,1921,2891,3883,4103,4881,5900,6904,7927,8373,MSR,33,29
Elche,1043,2085,3127,4177,4415,5235,6284,7325,8377,8837,M35,65,9
"San Jose, Goicoechea",963,1949,2935,3915,4137,4905,5927,6985,8163,8685,MSR,54,45
Villa Carlos Paz,927,1880,2833,3791,4008,4769,5753,6824,8379,9131,MSR,94,66
Stoke On Trent,1003,2022,3042,4067,4301,5110,6188,7290,8403,8896,M40,75,4
San Juan,973,1965,2958,3949,4171,4952,5964,7149,8986,9851,MSR,184,92
Manchester,975,1957,2939,3914,4135,4902,5899,6900,7909,8362,MSR,31,27
Santiago,950,1911,2872,3873,4102,4923,6003,7150,8362,8914,M35,77,11
Montevideo,1006,1987,2969,3978,4207,5007,6051,7075,8140,8617,MSR,49,41
Mexico City,967,1955,2944,3970,4175,5026,6118,7195,8276,8727,MSR,56,46
Dreux,1142,2270,3399,4561,4823,5736,6909,8119,9512,10092,MSR,233,104
Potsdam,989,1985,2982,4001,4227,5025,6076,7162,8328,8855,MSR,71,55
